#1/cm	sum, dif: SCP	 DCPI	 DCPII	 SCPc	 # Gain 5.1 e/ADc # Power at sample 313 mW # Cycles 20 # Total times [s] 470.689 470.689 470.689 470.689
2242.17	1.21377e+07	840	0	0	0	0	0	0	
2245.23	1.21451e+07	-675	0	0	0	0	0	0	
2248.29	1.21576e+07	1050	0	0	0	0	0	0	
2251.35	1.21795e+07	1023	0	0	0	0	0	0	
2254.41	1.21992e+07	609	0	0	0	0	0	0	
2257.46	1.22114e+07	-1921	0	0	0	0	0	0	
2260.51	1.2223e+07	1096	0	0	0	0	0	0	
2263.56	1.22252e+07	1081	0	0	0	0	0	0	
2266.61	1.22223e+07	-1076	0	0	0	0	0	0	
2269.66	1.22317e+07	-233	0	0	0	0	0	0	
2272.7	1.22365e+07	-378	0	0	0	0	0	0	
2275.75	1.22366e+07	1161	0	0	0	0	0	0	
2278.79	1.22396e+07	-1455	0	0	0	0	0	0	
2281.83	1.22358e+07	-2132	0	0	0	0	0	0	
2284.87	1.22331e+07	-265	0	0	0	0	0	0	
2287.9	1.22338e+07	-318	0	0	0	0	0	0	
2290.94	1.22331e+07	-1315	0	0	0	0	0	0	
2293.97	1.22387e+07	772	0	0	0	0	0	0	
2297	1.22302e+07	440	0	0	0	0	0	0	
2300.03	1.22354e+07	-2884	0	0	0	0	0	0	
2303.05	1.2237e+07	594	0	0	0	0	0	0	
2306.08	1.22399e+07	-632	0	0	0	0	0	0	
2309.1	1.22378e+07	1038	0	0	0	0	0	0	
2312.12	1.22438e+07	-971	0	0	0	0	0	0	
2315.14	1.22519e+07	38	0	0	0	0	0	0	
2318.15	1.22518e+07	-1479	0	0	0	0	0	0	
2321.17	1.22543e+07	-633	0	0	0	0	0	0	
2324.18	1.22632e+07	-580	0	0	0	0	0	0	
2327.19	1.22694e+07	176	0	0	0	0	0	0	
2330.2	1.22863e+07	-358	0	0	0	0	0	0	
2333.21	1.22988e+07	25	0	0	0	0	0	0	
2336.22	1.23017e+07	-629	0	0	0	0	0	0	
2339.22	1.23008e+07	-1203	0	0	0	0	0	0	
2342.22	1.23019e+07	-558	0	0	0	0	0	0	
2345.22	1.23017e+07	-907	0	0	0	0	0	0	
2348.22	1.23033e+07	174	0	0	0	0	0	0	
2351.22	1.23024e+07	1282	0	0	0	0	0	0	
2354.21	1.2312e+07	433	0	0	0	0	0	0	
2357.21	1.23139e+07	-2242	0	0	0	0	0	0	
2360.2	1.23183e+07	-1005	0	0	0	0	0	0	
2363.18	1.23247e+07	-801	0	0	0	0	0	0	
2366.17	1.23288e+07	-654	0	0	0	0	0	0	
2369.16	1.23353e+07	-1400	0	0	0	0	0	0	
2372.14	1.23363e+07	-1694	0	0	0	0	0	0	
2375.12	1.23452e+07	-434	0	0	0	0	0	0	
2378.1	1.23547e+07	-1120	0	0	0	0	0	0	
2381.08	1.23602e+07	544	0	0	0	0	0	0	
2384.06	1.23615e+07	-146	0	0	0	0	0	0	
2387.03	1.23704e+07	-1070	0	0	0	0	0	0	
2390	1.2377e+07	-170	0	0	0	0	0	0	
2392.97	1.23902e+07	812	0	0	0	0	0	0	
2395.94	1.2391e+07	-441	0	0	0	0	0	0	
2398.91	1.23937e+07	275	0	0	0	0	0	0	
2401.87	1.24001e+07	-429	0	0	0	0	0	0	
2404.84	1.24067e+07	-740	0	0	0	0	0	0	
2407.8	1.24153e+07	1125	0	0	0	0	0	0	
2410.76	1.24226e+07	1100	0	0	0	0	0	0	
2413.71	1.2428e+07	1033	0	0	0	0	0	0	
2416.67	1.24398e+07	839	0	0	0	0	0	0	
2419.62	1.24423e+07	1149	0	0	0	0	0	0	
2422.58	1.24497e+07	-66	0	0	0	0	0	0	
2425.53	1.24561e+07	1332	0	0	0	0	0	0	
2428.47	1.24692e+07	365	0	0	0	0	0	0	
2431.42	1.24766e+07	-2579	0	0	0	0	0	0	
2434.37	1.24825e+07	-277	0	0	0	0	0	0	
2437.31	1.24889e+07	278	0	0	0	0	0	0	
2440.25	1.25025e+07	804	0	0	0	0	0	0	
2443.19	1.25072e+07	-642	0	0	0	0	0	0	
2446.13	1.252e+07	-713	0	0	0	0	0	0	
2449.06	1.25303e+07	-1960	0	0	0	0	0	0	
